ptp4l[488527.545]: port 1 (eth0): INITIALIZING to SLAVE on INIT_COMPLETE
ptp4l[488527.546]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[488527.547]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[488653.727]: master offset     569561 s0 freq +271474 path delay    166934
ptp4l[488653.920]: master offset      15165 s0 freq -2787816 path delay    183844
ptp4l[488655.222]: master offset      16003 s0 freq    +642 path delay    183844
ptp4l[488655.917]: master offset     -30956 s0 freq  -67733 path delay    183844
ptp4l[488656.918]: master offset     -50311 s0 freq  -24566 path delay    178604
ptp4l[488657.923]: master offset     162671 s0 freq +212320 path delay    178604
ptp4l[488658.920]: master offset    -139193 s0 freq -244447 path delay    236461
ptp4l[488659.929]: master offset     -22501 s0 freq  +98841 path delay    219551
ptp4l[488660.924]: master offset    -130528 s0 freq  -77589 path delay    250436
ptp4l[488661.928]: master offset     300189 s0 freq +374194 path delay    195093
ptp4l[488662.927]: master offset     -29067 s0 freq -329115 path delay    195093
ptp4l[488663.929]: master offset     -55063 s0 freq  -58358 path delay    162670
ptp4l[488664.934]: master offset     -39687 s0 freq  +15303 path delay    162670
ptp4l[488665.931]: master offset     146043 s0 freq +180331 path delay    156661
ptp4l[488666.932]: master offset      88464 s0 freq  -57459 path delay    156661
ptp4l[488667.934]: master offset     -34098 s0 freq -118354 path delay    160714
ptp4l[488669.571]: master offset     -66521 s0 freq  -19817 path delay    160714
ptp4l[488670.205]: master offset      49194 s0 freq +272600 path delay    146459
ptp4l[488670.939]: master offset      -9363 s0 freq  -53457 path delay    151630
ptp4l[488671.942]: master offset      21732 s0 freq  +26224 path delay    146809
ptp4l[488672.939]: master offset     -26902 s0 freq  -48728 path delay    146809
ptp4l[488673.941]: master offset     436100 s0 freq +456934 path delay    141638
ptp4l[488674.943]: master offset      -8594 s0 freq -443642 path delay    141638
ptp4l[488675.946]: master offset     197540 s0 freq +210972 path delay    146809
ptp4l[488676.947]: master offset     119909 s0 freq  -24820 path delay    199566
ptp4l[488678.300]: master offset    -100901 s0 freq -163388 path delay    199566
ptp4l[488678.951]: master offset      96082 s0 freq +221108 path delay    146809
ptp4l[488679.975]: master offset     -72390 s0 freq  -81607 path delay    231708
ptp4l[488681.465]: master offset    -123821 s0 freq  -34529 path delay    231708
ptp4l[488681.974]: master offset      38573 s0 freq +318768 path delay    231708
ptp4l[488683.044]: master offset      84971 s0 freq  +43352 path delay    231708
ptp4l[488683.976]: master offset     -68827 s0 freq -158940 path delay    237369
ptp4l[488684.978]: master offset     -28579 s0 freq  +18960 path delay    216127
ptp4l[488685.980]: master offset     -15722 s0 freq  +12837 path delay    216127
ptp4l[488686.981]: master offset     -69738 s0 freq  -74566 path delay    195514
ptp4l[488688.797]: master offset     -33471 s0 freq  +40783 path delay    200055
ptp4l[488688.985]: master offset     -44091 s0 freq  -10589 path delay    200055
ptp4l[488689.988]: master offset     -79869 s0 freq  -35657 path delay    200055
ptp4l[488690.991]: master offset     -33680 s0 freq  +38993 path delay    192997
ptp4l[488691.995]: master offset     -11390 s0 freq  +29236 path delay    200055
ptp4l[488693.401]: master offset     -96080 s0 freq  -60193 path delay    200055
ptp4l[488693.998]: master offset      -8245 s0 freq +135793 path delay    192997
ptp4l[488695.001]: master offset      12719 s0 freq  +20924 path delay    192997
ptp4l[488696.002]: master offset     -50728 s0 freq  -63220 path delay    192997
ptp4l[488697.005]: master offset     -12088 s0 freq  +33494 path delay    187896
ptp4l[488698.006]: master offset     -60162 s0 freq  -47953 path delay    187896
ptp4l[488699.013]: master offset     181750 s0 freq +240131 path delay    186638
ptp4l[488700.008]: master offset     -52337 s0 freq -227394 path delay    193487
ptp4l[488701.010]: master offset      27041 s0 freq  +79177 path delay    193487
ptp4l[488702.015]: master offset     165957 s0 freq +138251 path delay    193487
ptp4l[488703.017]: master offset     -71412 s0 freq -204612 path delay    225979
ptp4l[488704.021]: master offset     149885 s0 freq +210579 path delay    215987
ptp4l[488705.023]: master offset     -39341 s0 freq -188736 path delay    215987
ptp4l[488706.413]: master offset     246593 s0 freq +286251 path delay    215987
ptp4l[488707.025]: master offset    -120397 s0 freq -327905 path delay    254000
ptp4l[488708.026]: master offset     -69805 s0 freq  +50484 path delay    254000
ptp4l[488709.028]: master offset     -64496 s0 freq   +5304 path delay    254000
ptp4l[488710.029]: master offset     -39618 s0 freq   -8937 path delay    220179
ptp4l[488711.037]: master offset     -64354 s0 freq  -47902 path delay    196561
ptp4l[488712.043]: master offset      76795 s0 freq +140446 path delay    196561
ptp4l[488713.043]: master offset    -107678 s0 freq -184494 path delay    196561
ptp4l[488714.047]: master offset     -42834 s0 freq  +64557 path delay    196561
ptp4l[488715.049]: master offset     -10131 s0 freq  +32664 path delay    196561
ptp4l[488716.049]: master offset     -96987 s0 freq  -94709 path delay    188664
ptp4l[488717.054]: master offset     410244 s0 freq +489115 path delay    173362
ptp4l[488718.499]: master offset     -22987 s0 freq -300058 path delay    173362
ptp4l[488719.063]: master offset     -83292 s0 freq  -79983 path delay    188664
ptp4l[488720.063]: master offset     -13974 s0 freq  +69370 path delay    188664
ptp4l[488721.056]: master offset    -107397 s0 freq -104630 path delay    177834
ptp4l[488722.065]: master offset     -17678 s0 freq  +89122 path delay    177834
ptp4l[488723.060]: master offset     -46747 s0 freq  -29170 path delay    177834
ptp4l[488724.061]: master offset     -81266 s0 freq  -37478 path delay    174899
ptp4l[488725.069]: master offset     -26482 s0 freq  +54687 path delay    174899
ptp4l[488726.059]: master offset     -81334 s0 freq  -73303 path delay    156522
ptp4l[488727.064]: master offset       7267 s0 freq  +86103 path delay    154286
ptp4l[488728.064]: master offset     -45210 s0 freq  -54777 path delay    151980
ptp4l[488730.382]: master offset      37594 s0 freq  +71048 path delay    140450
ptp4l[488730.387]: master offset      24178 s0 freq  -10170 path delay    140450
ptp4l[488731.068]: master offset     -38432 s0 freq -102210 path delay    133463
ptp4l[488732.069]: master offset      19637 s0 freq  +47142 path delay    122632
ptp4l[488733.068]: master offset      27183 s0 freq   +7550 path delay    122632
ptp4l[488734.071]: master offset     -30396 s0 freq  -57546 path delay    122632
ptp4l[488735.072]: master offset     456574 s0 freq +477766 path delay    114736
ptp4l[488736.088]: master offset     219551 s0 freq -233240 path delay    114736
ptp4l[488739.083]: master offset     144574 s0 freq  +10277 path delay    220459
ptp4l[488740.079]: master offset     212145 s0 freq  +79712 path delay    232547
ptp4l[488742.104]: master offset     -74628 s0 freq -279840 path delay    239535
ptp4l[488742.107]: master offset      -1956 s0 freq  +70626 path delay    239535
ptp4l[488744.323]: master offset    -115714 s0 freq -117206 path delay    239535
ptp4l[488744.333]: master offset      -4471 s0 freq  +88797 path delay    239535
ptp4l[488745.084]: master offset    -149256 s0 freq -192694 path delay    239535
ptp4l[488746.083]: master offset     -84759 s0 freq  +54428 path delay    229543
ptp4l[488747.088]: master offset     133046 s0 freq +197586 path delay    209908
ptp4l[488748.088]: master offset     234783 s0 freq +101714 path delay    209908
ptp4l[488749.087]: master offset    -126896 s0 freq -361674 path delay    209908
ptp4l[488750.089]: master offset    -110685 s0 freq  +16181 path delay    209908
ptp4l[488751.091]: master offset     -95031 s0 freq   -1115 path delay    193137
ptp4l[488752.505]: master offset     -97547 s0 freq   -1779 path delay    193137
ptp4l[488753.094]: master offset     659422 s0 freq +1218047 path delay    154496
ptp4l[488754.094]: master offset     -46887 s0 freq -706171 path delay    154496
ptp4l[488755.097]: master offset     -77633 s0 freq  -30735 path delay    154496
ptp4l[488756.099]: master offset      38362 s0 freq +115834 path delay    154496
ptp4l[488757.097]: master offset       6499 s0 freq  -31845 path delay    154496
ptp4l[488758.098]: master offset     -50451 s0 freq  -66149 path delay    145202
ptp4l[488759.101]: master offset      -8666 s0 freq  +25127 path delay    128572
ptp4l[488760.105]: master offset     -16700 s0 freq  -20657 path delay    115924
ptp4l[488761.103]: master offset      14535 s0 freq  +20635 path delay    105372
ptp4l[488762.792]: master offset      -4751 s0 freq  -11417 path delay    105372
ptp4l[488763.105]: master offset     118512 s0 freq +394806 path delay    105372
ptp4l[488764.103]: master offset     165468 s0 freq  +47013 path delay    105372
ptp4l[488765.108]: master offset      21243 s0 freq -140953 path delay    108168
ptp4l[488766.108]: master offset     -31584 s0 freq  -52798 path delay    108168
ptp4l[488767.105]: master offset      90279 s0 freq +122136 path delay    108168
ptp4l[488768.120]: master offset      65963 s0 freq  -24250 path delay    108168
ptp4l[488769.106]: master offset      60515 s0 freq  +34109 path delay    147717
ptp4l[488770.121]: master offset      54364 s0 freq   -6064 path delay    147717
ptp4l[488771.399]: master offset     -41994 s0 freq  -51823 path delay    177834
ptp4l[488772.120]: master offset    1330025 s0 freq +1924207 path delay    189363
ptp4l[488773.118]: master offset     -65614 s0 freq -1378011 path delay    208161
ptp4l[488774.125]: master offset     -59465 s0 freq  -13085 path delay    188875
ptp4l[488775.129]: master offset     463210 s0 freq +521651 path delay    188875
ptp4l[488776.123]: master offset     176438 s0 freq -226610 path delay    249248
ptp4l[488777.151]: master offset     -41576 s0 freq -212541 path delay    249248
ptp4l[488778.249]: master offset      83643 s0 freq  +46595 path delay    175179
ptp4l[488779.150]: master offset       9574 s0 freq  -82055 path delay    175179
ptp4l[488780.153]: master offset      29138 s0 freq  +19494 path delay    175179
ptp4l[488781.149]: master offset     -60583 s0 freq  -90064 path delay    175179
ptp4l[488782.151]: master offset      55972 s0 freq +116323 path delay    175179
ptp4l[488783.153]: master offset     -83921 s0 freq -138406 path delay    176437
ptp4l[488784.151]: master offset     -82525 s0 freq   +1397 path delay    176437
ptp4l[488785.599]: master offset     241074 s0 freq +319587 path delay    173991
ptp4l[488786.518]: master offset     -54361 s0 freq -296034 path delay    173991
ptp4l[488787.155]: master offset     -37522 s0 freq   +6702 path delay    163859
ptp4l[488788.156]: master offset       3006 s0 freq  +40496 path delay    163859
ptp4l[488789.158]: master offset     -47305 s0 freq  -63368 path delay    150721
ptp4l[488790.334]: master offset      64779 s0 freq  +95193 path delay    150721
ptp4l[488791.163]: master offset     -39758 s0 freq -126533 path delay    150721
ptp4l[488792.163]: master offset      46889 s0 freq  +84263 path delay    148486
ptp4l[488793.162]: master offset     153658 s0 freq +106752 path delay    148486
ptp4l[488794.164]: master offset      64218 s0 freq  -89362 path delay    148486
ptp4l[488795.173]: master offset     137237 s0 freq  +97000 path delay    173013
ptp4l[488796.171]: master offset     101532 s0 freq  -29297 path delay    179372
ptp4l[488797.170]: master offset      74976 s0 freq  -26569 path delay    179372
ptp4l[488798.169]: master offset     -99784 s0 freq -139156 path delay    215219
ptp4l[488799.452]: master offset     -34938 s0 freq  +50674 path delay    215219
ptp4l[488800.326]: master offset     -77423 s0 freq  -48779 path delay    215219
ptp4l[488801.316]: master offset     -20332 s0 freq  +21329 path delay    179372
ptp4l[488803.149]: master offset      95380 s0 freq +115500 path delay    179372
ptp4l[488803.318]: master offset     247292 s0 freq +179095 path delay    206624
ptp4l[488804.318]: master offset    -153587 s0 freq -374218 path delay    232967
ptp4l[488806.356]: master offset     -50590 s0 freq  +98736 path delay    228914
ptp4l[488806.414]: master offset     -13975 s0 freq  +33551 path delay    228914
ptp4l[488807.323]: master offset     -66870 s0 freq -110423 path delay    181188
ptp4l[488808.323]: master offset     -64985 s0 freq   -6426 path delay    172874
ptp4l[488809.325]: master offset     -27600 s0 freq  +55848 path delay    191390
ptp4l[488811.591]: master offset    1561106 s0 freq +1312065 path delay    191390
ptp4l[488811.596]: master offset    -118020 s0 freq -1552847 path delay    223114
ptp4l[488812.333]: master offset    -108797 s0 freq  +12520 path delay    223114
ptp4l[488813.336]: master offset     -77212 s0 freq  +31508 path delay    223114
ptp4l[488814.337]: master offset     250788 s0 freq +295626 path delay    191390
ptp4l[488815.340]: master offset     -46467 s0 freq -264741 path delay    223114
